id,row,role,index,x_mm,y_mm,pad_dia_mm,hole_dia_mm,drill_est_mm,hole_dia_nominal_mm,hole_dia_residual_mm,inferred,picked,probed,two_sided,roundness,kind,x_px,y_px
6,0,pin,0,-0.0394875018983269,-0.011484942969887273,1.5680903843176146,1.0346278195921443,1.0846278195921444,1.3,-0.21537218040785566,False,True,False,True,0.8716122657299964,through-hole,2925.084422064215,778.7868251746339
11,0,pin,1,2.60081094438729,0.09527415528674489,1.8665249384484959,1.3852549770976146,1.4352549770976146,1.3,0.13525497709761458,False,True,False,True,1.0,through-hole,2729.958749950013,778.4262465767943
10,0,pin,2,5.065177307733858,-0.0832472829860194,1.681700549168498,,,1.3,,False,True,False,True,0.8826081968769497,pad,2547.837778819658,798.6178703509468
5,0,pin,3,7.635768268615162,0.05460365766186214,1.5033730814716917,,,1.3,,False,True,False,True,0.9449914322286043,pad,2355.4718368595677,795.8146493665856
0,0,pin,4,10.182003624220856,0.026795751594787344,1.4702576898377784,,,1.3,,False,True,False,True,0.8996321433761155,pad,2164.4405062746787,805.2236426164843
12,0,pin,5,12.629063942421071,-0.10047849840645087,1.619589531148516,1.3656082402888923,1.4156082402888923,1.3,0.11560824028889227,False,True,False,True,0.9219076377339568,through-hole,1980.1906809103743,821.8050522597108
13,0,pin,6,15.253978023916547,0.010053490942011746,0.7166279838379455,1.1527934572709992,1.2027934572709993,1.3,-0.09720654272900076,False,True,False,True,0.6842100622147973,through-hole,1780.3465445955578,821.2473077524468
8,0,pin,7,17.782245902858623,-0.06858845828962755,3.6839326582412584,1.3245377490341397,1.3745377490341397,1.3,0.07453774903413968,False,True,False,True,0.8165686631293545,through-hole,1587.465233710513,834.5716860405923
1,0,pin,8,20.33927461821647,0.03859199842525585,1.6856592738781992,1.2022362031442209,1.252236203144221,1.3,-0.04776379685577914,False,True,False,True,0.9145615498054744,through-hole,1390.4146327310143,834.1011941899422
15,1,pin,0,26.780151392049724,-13.321041940898068,4.3875475570372915,1.8223827851544074,1.8723827851544075,1.6,0.2723827851544074,False,False,True,False,0.8279801068063815,through-hole,949.7638445000599,1860.9647659769694
3,1,pin,1,27.080120689697793,-10.786544437234323,1.4500710876666763,,,1.6,,False,True,False,True,1.0,pad,915.0285567934309,1671.5683474904142
7,1,pin,2,26.94414209298855,-8.20277967842786,1.62264227050984,1.628506899355803,1.678506899355803,1.6,0.0785068993558029,False,True,False,True,1.0,through-hole,914.0708675686943,1476.4220383290092
16,1,pin,3,26.81238575879424,-5.725332954724614,1.7247590786940028,,,1.6,,False,False,True,False,0.9286798246397425,pad,913.2589111328125,1289.0989990234375
9,1,pin,4,26.94863120210074,-3.2045711799010683,1.619275451708588,1.543374333072168,1.5933743330721681,1.6,-0.0066256669278319524,False,True,False,True,1.0,through-hole,891.286788269727,1099.1904844672686
4,1,pin,5,26.873284052196652,-0.5505879688689111,3.645928466281085,1.3878813251055502,1.4378813251055502,1.6,-0.16211867489444987,False,True,False,True,0.807475927185827,through-hole,885.2506810492484,898.2220578959624
